L,B_over_B0,E_0.2_MeV,E_0.6_MeV,E_1.25_MeV,E_3_MeV,E_5_MeV,E_12.5_MeV,E_30_MeV,E_50_MeV,E_125_MeV,E_300_MeV
5,48.193,7.59e+06,85500,0,0,0,0,0,0,0,0
5,56.225,6.36e+06,67700,0,0,0,0,0,0,0,0
5,64.257,5.33e+06,52900,0,0,0,0,0,0,0,0
5,72.289,4.46e+06,41200,0,0,0,0,0,0,0,0
5,80.321,3.51e+06,31200,0,0,0,0,0,0,0,0
5,88.353,2.76e+06,22900,0,0,0,0,0,0,0,0
5,96.386,2.1e+06,16200,0,0,0,0,0,0,0,0
5,104.418,1.58e+06,11100,0,0,0,0,0,0,0,0
5,112.851,1.03e+06,6490,0,0,0,0,0,0,0,0
5,120.884,598000,3330,0,0,0,0,0,0,0,0
5,128.916,278000,0,0,0,0,0,0,0,0,0
5,136.546,78900,0,0,0,0,0,0,0,0,0
5,144.98,4670,0,0,0,0,0,0,0,0,0
5.4,1,9.15e+07,3.05e+06,13300,0,0,0,0,0,0,0
5.4,2.525,4.03e+07,665000,0,0,0,0,0,0,0,0
5.4,5.051,2.73e+07,371000,0,0,0,0,0,0,0,0
5.4,10.101,1.95e+07,222000,0,0,0,0,0,0,0,0
5.4,20.202,1.37e+07,127000,0,0,0,0,0,0,0,0
5.4,30.303,1.04e+07,86400,0,0,0,0,0,0,0,0
5.4,40.404,8.35e+06,64500,0,0,0,0,0,0,0,0
5.4,50.505,6.86e+06,49300,0,0,0,0,0,0,0,0
5.4,60.606,5.62e+06,38900,0,0,0,0,0,0,0,0
5.4,70.707,4.67e+06,30700,0,0,0,0,0,0,0,0
5.4,80.808,3.88e+06,24300,0,0,0,0,0,0,0,0
5.4,90.909,3.23e+06,19300,0,0,0,0,0,0,0,0
5.4,101.01,2.58e+06,14600,0,0,0,0,0,0,0,0
5.4,111.111,2.03e+06,10600,0,0,0,0,0,0,0,0
5.4,121.212,1.51e+06,7210,0,0,0,0,0,0,0,0
5.4,131.313,998000,0,0,0,0,0,0,0,0,0
5.4,141.919,500000,0,0,0,0,0,0,0,0,0
5.4,152.02,135000,0,0,0,0,0,0,0,0,0
5.4,162.121,26400,0,0,0,0,0,0,0,0,0
5.4,171.717,6330,0,0,0,0,0,0,0,0,0
